invoice_line_id,invoice_id,ticket_id,line_type,reference_code,description,amount,currency
INL-00001,INV-00001,TKT-00001,base_fare,BIZFL,Base fare: Business Flex,1698.46,EUR
INL-00002,INV-00001,TKT-00001,tax,GVT,Government Passenger Tax,118.89,EUR
INL-00003,INV-00001,TKT-00001,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00004,INV-00001,TKT-00001,airport_fee,SEC,Security Fee,11.01,EUR
INL-00005,INV-00002,TKT-00002,base_fare,ECOFL,Base fare: Economy Flex,208497.08,JPY
INL-00006,INV-00002,TKT-00002,tax,GVT,Government Passenger Tax,4864.54,JPY
INL-00007,INV-00002,TKT-00002,airport_fee,PSC,Passenger Service Charge,5223.88,JPY
INL-00008,INV-00002,TKT-00002,airport_fee,SEC,Security Fee,1791.04,JPY
INL-00009,INV-00003,TKT-00003,base_fare,PREMY,Base fare: Premium Economy,9541.51,BRL
INL-00010,INV-00003,TKT-00003,tax,GVT,Government Passenger Tax,667.91,BRL
INL-00011,INV-00003,TKT-00003,airport_fee,PSC,Passenger Service Charge,205.88,BRL
INL-00012,INV-00003,TKT-00003,airport_fee,SEC,Security Fee,70.59,BRL
INL-00013,INV-00004,TKT-00004,base_fare,ECOSV,Base fare: Economy Saver,724.53,USD
INL-00014,INV-00004,TKT-00004,tax,GVT,Government Passenger Tax,50.72,USD
INL-00015,INV-00004,TKT-00004,airport_fee,PSC,Passenger Service Charge,35.0,USD
INL-00016,INV-00004,TKT-00004,airport_fee,SEC,Security Fee,12.0,USD
INL-00017,INV-00004,TKT-00004,ancillary,UPGCB,Ancillary service: UPGCB,220.0,USD
INL-00018,INV-00004,TKT-00005,base_fare,ECOSV,Base fare: Economy Saver,724.53,USD
INL-00019,INV-00004,TKT-00005,tax,GVT,Government Passenger Tax,50.72,USD
INL-00020,INV-00004,TKT-00005,airport_fee,PSC,Passenger Service Charge,35.0,USD
INL-00021,INV-00004,TKT-00005,airport_fee,SEC,Security Fee,12.0,USD
INL-00022,INV-00004,TKT-00005,ancillary,WIFI,Ancillary service: WIFI,15.0,USD
INL-00023,INV-00004,TKT-00005,ancillary,UPGCB,Ancillary service: UPGCB,220.0,USD
INL-00024,INV-00005,TKT-00006,base_fare,PREMY,Base fare: Premium Economy,1341.07,CAD
INL-00025,INV-00005,TKT-00006,tax,GVT,Government Passenger Tax,93.88,CAD
INL-00026,INV-00005,TKT-00006,airport_fee,PSC,Passenger Service Charge,47.3,CAD
INL-00027,INV-00005,TKT-00006,airport_fee,SEC,Security Fee,16.22,CAD
INL-00028,INV-00005,TKT-00006,ancillary,MEALSP,Ancillary service: MEALSP,27.03,CAD
