invoice_id,booking_id,invoice_date_utc,currency,bill_to_type,bill_to_id,subtotal_amount,tax_amount,fee_amount,ancillary_amount,discount_amount,total_amount,status
INV-00001,BKG-00001,2025-12-10T09:00:00Z,EUR,travel_agent,TA-003,1698.46,118.89,43.12,0.0,0.0,1860.47,paid
INV-00002,BKG-00002,2025-12-15T09:00:00Z,JPY,travel_agent,TA-007,69493.36,4864.54,7014.92,0.0,0.0,81372.82,paid
INV-00003,BKG-00003,2025-12-22T09:00:00Z,BRL,passenger,PSG-00036,9541.51,667.91,276.47,0.0,0.0,10485.89,refunded
INV-00004,BKG-00004,2026-01-08T09:00:00Z,USD,travel_agent,TA-008,1449.06,101.44,94.0,455.0,0.0,2099.5,paid
INV-00005,BKG-00005,2025-12-27T09:00:00Z,CAD,travel_agent,TA-001,2682.14,187.76,127.04,87.84,0.0,3084.78,paid
INV-00006,BKG-00006,2025-11-19T09:00:00Z,GBP,travel_agent,TA-008,1263.64,88.46,74.02,11.81,0.0,1437.93,paid
INV-00007,BKG-00007,2025-11-16T09:00:00Z,EUR,travel_agent,TA-003,427.16,29.9,43.12,0.0,0.0,500.18,paid
INV-00008,BKG-00008,2025-12-10T09:00:00Z,USD,corporate,CORP-002,1940.79,135.86,47.0,0.0,194.08,1929.57,paid
INV-00009,BKG-00009,2025-11-19T09:00:00Z,CNY,corporate,CORP-003,1519.64,106.38,676.26,1690.64,121.57,3871.35,paid
INV-00010,BKG-00010,2025-11-30T09:00:00Z,GBP,corporate,CORP-005,1843.11,129.03,111.03,43.31,184.31,1942.17,paid
INV-00011,BKG-00011,2025-12-23T09:00:00Z,SGD,passenger,PSG-00122,929.98,65.1,63.09,0.0,46.5,1011.67,refunded
INV-00012,BKG-00012,2025-12-15T09:00:00Z,ZAR,passenger,PSG-00072,28898.34,2022.88,1740.74,648.15,0.0,33310.11,paid
INV-00013,BKG-00013,2025-12-30T09:00:00Z,EUR,corporate,CORP-005,1938.4,135.69,43.12,18.35,193.84,1941.72,paid
INV-00014,BKG-00014,2025-11-17T09:00:00Z,AED,travel_agent,TA-008,6798.82,475.92,172.6,220.35,0.0,7667.69,paid
INV-00015,BKG-00015,2026-01-03T09:00:00Z,USD,corporate,CORP-002,542.32,37.96,47.0,0.0,54.23,573.05,paid
INV-00016,BKG-00016,2026-01-06T09:00:00Z,CNY,passenger,PSG-00029,36018.42,2521.28,676.26,359.72,0.0,39575.68,issued
INV-00017,BKG-00017,2025-12-01T09:00:00Z,BRL,corporate,CORP-002,21810.02,1526.7,552.94,0.0,2181.0,21708.66,paid
INV-00018,BKG-00018,2025-12-18T09:00:00Z,EUR,passenger,PSG-00062,1741.86,121.93,43.12,0.0,0.0,1906.91,paid
INV-00019,BKG-00019,2025-11-18T09:00:00Z,EUR,travel_agent,TA-001,1284.02,89.88,43.12,215.59,0.0,1632.61,paid
INV-00020,BKG-00020,2025-11-28T09:00:00Z,CNY,corporate,CORP-005,4984.45,348.91,338.13,1582.73,498.44,6755.78,paid
INV-00021,BKG-00021,2025-11-26T09:00:00Z,BRL,corporate,CORP-001,8707.11,609.51,829.41,411.77,1044.85,9512.95,paid
INV-00022,BKG-00022,2025-11-10T09:00:00Z,AUD,corporate,CORP-005,1619.24,113.35,71.21,0.0,161.92,1641.88,paid
INV-00023,BKG-00023,2026-01-11T09:00:00Z,JPY,passenger,PSG-00084,222431.64,15570.22,14029.84,0.0,0.0,252031.7,paid
INV-00024,BKG-00024,2025-12-31T09:00:00Z,BRL,travel_agent,TA-007,20196.61,1413.76,276.47,264.71,0.0,22151.55,issued
INV-00025,BKG-00025,2025-12-01T09:00:00Z,USD,passenger,PSG-00145,3063.99,214.47,141.0,25.0,0.0,3444.46,paid
