payment_attempt_id,invoice_id,attempt_datetime_utc,method,amount,currency,result,failure_reason
PAT-00001,INV-00001,2025-12-10T11:00:00Z,card,1860.47,EUR,failed,card_declined
PAT-00002,INV-00001,2025-12-10T17:00:00Z,bank_transfer,1860.47,EUR,success,
PAT-00003,INV-00002,2025-12-15T11:00:00Z,card,81372.82,JPY,success,
PAT-00004,INV-00003,2025-12-22T11:00:00Z,card,10485.89,BRL,success,
PAT-00005,INV-00004,2026-01-08T11:00:00Z,card,2099.5,USD,success,
PAT-00006,INV-00005,2025-12-27T11:00:00Z,card,3084.78,CAD,success,
PAT-00007,INV-00006,2025-11-19T11:00:00Z,card,1437.93,GBP,success,
PAT-00008,INV-00007,2025-11-16T11:00:00Z,card,500.18,EUR,success,
PAT-00009,INV-00008,2025-12-10T11:00:00Z,card,1929.57,USD,success,
PAT-00010,INV-00009,2025-11-19T11:00:00Z,card,3871.35,CNY,success,
PAT-00011,INV-00010,2025-11-30T11:00:00Z,card,1942.17,GBP,success,
PAT-00012,INV-00011,2025-12-23T11:00:00Z,card,1011.67,SGD,success,
PAT-00013,INV-00012,2025-12-15T11:00:00Z,card,33310.11,ZAR,failed,card_declined
PAT-00014,INV-00012,2025-12-15T17:00:00Z,bank_transfer,33310.11,ZAR,success,
PAT-00015,INV-00013,2025-12-30T11:00:00Z,card,1941.72,EUR,success,
PAT-00016,INV-00014,2025-11-17T11:00:00Z,card,7667.69,AED,success,
PAT-00017,INV-00015,2026-01-03T11:00:00Z,card,573.05,USD,success,
PAT-00018,INV-00016,2026-01-06T11:00:00Z,card,39575.68,CNY,failed,insufficient_funds
PAT-00019,INV-00017,2025-12-01T11:00:00Z,card,21708.66,BRL,success,
PAT-00020,INV-00018,2025-12-18T11:00:00Z,card,1906.91,EUR,success,
PAT-00021,INV-00019,2025-11-18T11:00:00Z,card,1632.61,EUR,success,
PAT-00022,INV-00020,2025-11-28T11:00:00Z,card,6755.78,CNY,success,
PAT-00023,INV-00021,2025-11-26T11:00:00Z,card,9512.95,BRL,success,
PAT-00024,INV-00022,2025-11-10T11:00:00Z,card,1641.88,AUD,success,
PAT-00025,INV-00023,2026-01-11T11:00:00Z,card,252031.7,JPY,success,
PAT-00026,INV-00024,2025-12-31T11:00:00Z,card,22151.55,BRL,failed,insufficient_funds
PAT-00027,INV-00025,2025-12-01T11:00:00Z,card,3444.46,USD,failed,insufficient_funds
PAT-00028,INV-00025,2025-12-01T17:00:00Z,bank_transfer,3444.46,USD,success,
PAT-00029,INV-00026,2026-01-14T11:00:00Z,card,2835.97,EUR,success,
PAT-00030,INV-00027,2025-12-13T11:00:00Z,card,65374.19,ZAR,success,
PAT-00031,INV-00028,2025-12-05T11:00:00Z,card,2183.99,EUR,success,
PAT-00032,INV-00029,2025-12-26T11:00:00Z,card,5362.3,AUD,success,
PAT-00033,INV-00030,2025-12-29T11:00:00Z,card,3246.89,EUR,success,
PAT-00034,INV-00031,2025-12-02T11:00:00Z,card,3241.02,GBP,success,
PAT-00035,INV-00032,2025-12-09T11:00:00Z,card,4081.18,AUD,success,
PAT-00036,INV-00033,2025-12-21T11:00:00Z,card,2978.59,AUD,success,
PAT-00037,INV-00034,2025-12-13T11:00:00Z,card,3139.79,EUR,success,
PAT-00038,INV-00035,2026-01-03T11:00:00Z,card,3446.09,USD,success,
PAT-00039,INV-00036,2025-11-29T11:00:00Z,card,1589.07,EUR,success,
PAT-00040,INV-00037,2026-01-01T11:00:00Z,card,17641.65,TRY,success,
PAT-00041,INV-00038,2025-11-20T11:00:00Z,card,2555.58,EUR,success,
PAT-00042,INV-00039,2025-11-11T11:00:00Z,card,1913.5,SGD,success,
PAT-00043,INV-00040,2025-11-21T11:00:00Z,card,771.92,EUR,success,
PAT-00044,INV-00041,2026-01-17T11:00:00Z,card,911026.54,JPY,success,
PAT-00045,INV-00042,2025-11-08T11:00:00Z,card,3954.85,EUR,success,
PAT-00046,INV-00043,2025-12-07T11:00:00Z,card,2280.19,AUD,success,
PAT-00047,INV-00044,2025-11-28T11:00:00Z,card,1295.93,EUR,success,
PAT-00048,INV-00045,2025-12-30T11:00:00Z,card,10562.56,AED,success,
PAT-00049,INV-00046,2025-12-11T11:00:00Z,card,4300.96,BRL,failed,insufficient_funds
PAT-00050,INV-00046,2025-12-11T17:00:00Z,bank_transfer,4300.96,BRL,success,
PAT-00051,INV-00047,2025-11-19T11:00:00Z,card,68903.03,ZAR,success,
PAT-00052,INV-00048,2025-12-26T11:00:00Z,card,3117.42,GBP,success,
PAT-00053,INV-00049,2025-11-25T11:00:00Z,card,3983.48,EUR,success,
PAT-00054,INV-00050,2025-12-16T11:00:00Z,card,2052.97,AUD,success,
PAT-00055,INV-00051,2025-12-09T11:00:00Z,card,21190.71,CNY,failed,card_declined
PAT-00056,INV-00051,2025-12-09T17:00:00Z,bank_transfer,21190.71,CNY,success,
PAT-00057,INV-00052,2025-12-08T11:00:00Z,card,569.92,EUR,success,
PAT-00058,INV-00053,2025-11-08T11:00:00Z,card,11613.93,AUD,success,
PAT-00059,INV-00054,2025-12-02T11:00:00Z,card,1456.95,AUD,success,
PAT-00060,INV-00055,2025-11-10T11:00:00Z,card,8621.95,EUR,success,
PAT-00061,INV-00056,2025-12-11T11:00:00Z,card,115024.21,TRY,success,
PAT-00062,INV-00057,2026-01-18T11:00:00Z,card,8431.22,BRL,success,
PAT-00063,INV-00058,2026-01-04T11:00:00Z,card,3607.6,AUD,failed,card_declined
PAT-00064,INV-00058,2026-01-04T17:00:00Z,bank_transfer,3607.6,AUD,success,
PAT-00065,INV-00059,2025-12-10T11:00:00Z,card,45031.56,ZAR,failed,card_declined
PAT-00066,INV-00060,2025-11-01T11:00:00Z,card,1987.54,GBP,success,
PAT-00067,INV-00061,2025-12-12T11:00:00Z,card,6842.96,EUR,success,
PAT-00068,INV-00062,2025-12-06T11:00:00Z,card,977.42,EUR,success,
PAT-00069,INV-00063,2025-11-23T11:00:00Z,card,3205.8,EUR,success,
PAT-00070,INV-00064,2025-12-30T11:00:00Z,card,561.23,CAD,success,
PAT-00071,INV-00065,2025-12-08T11:00:00Z,card,1822.0,USD,success,
PAT-00072,INV-00066,2025-11-24T11:00:00Z,card,100514.87,ZAR,success,
PAT-00073,INV-00067,2025-11-23T11:00:00Z,card,6814.78,EUR,failed,insufficient_funds
PAT-00074,INV-00067,2025-11-23T17:00:00Z,bank_transfer,6814.78,EUR,success,
PAT-00075,INV-00068,2025-12-02T11:00:00Z,card,1979.8,EUR,success,
PAT-00076,INV-00069,2026-01-14T11:00:00Z,card,31477.15,ZAR,failed,insufficient_funds
PAT-00077,INV-00069,2026-01-14T17:00:00Z,bank_transfer,31477.15,ZAR,success,
PAT-00078,INV-00070,2025-12-19T11:00:00Z,card,10155.64,ZAR,success,
PAT-00079,INV-00071,2025-12-29T11:00:00Z,card,1362.1,AUD,success,
PAT-00080,INV-00072,2025-12-25T11:00:00Z,card,1058.06,CAD,success,
PAT-00081,INV-00073,2026-01-04T11:00:00Z,card,2054.88,AUD,success,
PAT-00082,INV-00074,2025-10-28T11:00:00Z,card,6237.22,CAD,success,
PAT-00083,INV-00075,2025-11-17T11:00:00Z,card,6522.27,CNY,failed,card_declined
PAT-00084,INV-00076,2025-12-03T11:00:00Z,card,1148.68,SGD,success,
PAT-00085,INV-00077,2025-11-23T11:00:00Z,card,114478.53,JPY,success,
PAT-00086,INV-00078,2025-11-16T11:00:00Z,card,69853.31,TRY,success,
PAT-00087,INV-00079,2026-01-06T11:00:00Z,card,704.46,EUR,failed,bank_rejected
PAT-00088,INV-00079,2026-01-06T17:00:00Z,bank_transfer,704.46,EUR,success,
PAT-00089,INV-00080,2026-01-04T11:00:00Z,card,3399.44,CAD,success,
PAT-00090,INV-00081,2025-11-12T11:00:00Z,card,752.15,EUR,success,
PAT-00091,INV-00082,2025-12-08T11:00:00Z,card,1167.08,CAD,success,
PAT-00092,INV-00083,2025-12-16T11:00:00Z,card,1037.65,CAD,success,
PAT-00093,INV-00084,2025-12-24T11:00:00Z,card,119608.78,ZAR,success,
PAT-00094,INV-00085,2025-11-21T11:00:00Z,card,485.55,EUR,success,
PAT-00095,INV-00086,2025-12-28T11:00:00Z,card,7736.53,AUD,success,
PAT-00096,INV-00087,2025-11-20T11:00:00Z,card,877.37,EUR,success,
PAT-00097,INV-00088,2025-12-11T11:00:00Z,card,364433.34,JPY,success,
PAT-00098,INV-00089,2025-12-02T11:00:00Z,card,1944.98,GBP,success,
PAT-00099,INV-00090,2025-12-09T11:00:00Z,card,591.47,GBP,success,
PAT-00100,INV-00091,2025-12-02T11:00:00Z,card,1596.78,GBP,success,
PAT-00101,INV-00092,2025-11-05T11:00:00Z,card,12878.3,CNY,success,
PAT-00102,INV-00093,2025-12-18T11:00:00Z,card,118084.07,JPY,success,
PAT-00103,INV-00094,2026-01-05T11:00:00Z,card,16561.31,AUD,success,
PAT-00104,INV-00095,2025-12-03T11:00:00Z,card,37604.1,ZAR,success,
PAT-00105,INV-00096,2025-11-18T11:00:00Z,card,2936.26,AUD,success,
PAT-00106,INV-00097,2025-12-27T11:00:00Z,card,1036.98,AUD,failed,bank_rejected
PAT-00107,INV-00098,2025-11-22T11:00:00Z,card,2267.48,EUR,success,
PAT-00108,INV-00099,2025-12-06T11:00:00Z,card,808.39,EUR,success,
PAT-00109,INV-00100,2025-11-14T11:00:00Z,card,979.29,EUR,success,
PAT-00110,INV-00101,2025-12-07T11:00:00Z,card,957368.22,JPY,success,
PAT-00111,INV-00102,2025-12-01T11:00:00Z,card,57956.44,CNY,success,
PAT-00112,INV-00103,2025-11-11T11:00:00Z,card,2893.12,USD,success,
PAT-00113,INV-00104,2025-12-09T11:00:00Z,card,1018.72,EUR,success,
PAT-00114,INV-00105,2025-12-09T11:00:00Z,card,3789.45,AUD,success,
PAT-00115,INV-00106,2025-11-19T11:00:00Z,card,400305.26,ZAR,success,
PAT-00116,INV-00107,2025-12-16T11:00:00Z,card,2017.92,EUR,success,
PAT-00117,INV-00108,2026-01-11T11:00:00Z,card,15999.73,ZAR,success,
PAT-00118,INV-00109,2025-12-04T11:00:00Z,card,3176.76,EUR,success,
PAT-00119,INV-00110,2025-11-06T11:00:00Z,card,1448.08,USD,success,
PAT-00120,INV-00111,2025-12-27T11:00:00Z,card,513.53,CAD,success,
PAT-00121,INV-00112,2025-12-20T11:00:00Z,card,624499.4,JPY,success,
PAT-00122,INV-00113,2025-11-17T11:00:00Z,card,280.92,GBP,failed,bank_rejected
PAT-00123,INV-00113,2025-11-17T17:00:00Z,bank_transfer,280.92,GBP,success,
PAT-00124,INV-00114,2025-12-02T11:00:00Z,card,15762.84,BRL,success,
PAT-00125,INV-00115,2026-01-19T11:00:00Z,card,1623.24,EUR,success,
PAT-00126,INV-00116,2025-12-12T11:00:00Z,card,466.01,EUR,success,
PAT-00127,INV-00117,2025-11-23T11:00:00Z,card,7147.06,GBP,success,
PAT-00128,INV-00118,2025-12-09T11:00:00Z,card,1900.71,CNY,success,
PAT-00129,INV-00119,2025-12-15T11:00:00Z,card,4897.23,EUR,success,
PAT-00130,INV-00120,2025-11-19T11:00:00Z,card,829.64,EUR,success,
PAT-00131,INV-00121,2025-12-10T11:00:00Z,card,5939.78,EUR,success,
PAT-00132,INV-00122,2025-12-20T11:00:00Z,card,10073.12,SGD,success,
PAT-00133,INV-00123,2025-11-17T11:00:00Z,card,72142.21,JPY,success,
PAT-00134,INV-00124,2025-11-04T11:00:00Z,card,6522.27,CNY,success,
PAT-00135,INV-00125,2025-12-27T11:00:00Z,card,3775.65,CAD,success,
PAT-00136,INV-00126,2025-12-22T11:00:00Z,card,129970.95,TRY,success,
PAT-00137,INV-00127,2025-11-25T11:00:00Z,card,2170.07,EUR,success,
PAT-00138,INV-00128,2025-12-20T11:00:00Z,card,971.87,SGD,success,
PAT-00139,INV-00129,2025-12-06T11:00:00Z,card,1501.52,EUR,failed,insufficient_funds
PAT-00140,INV-00130,2025-12-20T11:00:00Z,card,20554.85,BRL,success,
PAT-00141,INV-00131,2025-12-20T11:00:00Z,card,13058.25,EUR,success,
PAT-00142,INV-00132,2025-12-24T11:00:00Z,card,897.05,EUR,success,
PAT-00143,INV-00133,2025-11-12T11:00:00Z,card,70999.69,TRY,success,
PAT-00144,INV-00134,2025-12-20T11:00:00Z,card,1370.76,EUR,success,
PAT-00145,INV-00135,2025-12-27T11:00:00Z,card,20130.04,BRL,success,
PAT-00146,INV-00136,2025-12-15T11:00:00Z,card,2571.58,AED,success,
PAT-00147,INV-00137,2025-11-19T11:00:00Z,card,4310.78,USD,failed,card_declined
PAT-00148,INV-00138,2025-11-03T11:00:00Z,card,3267.63,SGD,success,
PAT-00149,INV-00139,2025-12-25T11:00:00Z,card,12126.08,CNY,success,
PAT-00150,INV-00140,2025-11-19T11:00:00Z,card,2609.48,EUR,success,
PAT-00151,INV-00141,2025-12-04T11:00:00Z,card,1005.47,CAD,success,
PAT-00152,INV-00142,2025-12-04T11:00:00Z,card,9225.18,AUD,failed,card_declined
PAT-00153,INV-00142,2025-12-04T17:00:00Z,bank_transfer,9225.18,AUD,success,
PAT-00154,INV-00143,2025-12-08T11:00:00Z,card,6927.38,USD,success,
PAT-00155,INV-00144,2025-11-24T11:00:00Z,card,5457.92,AUD,success,
PAT-00156,INV-00145,2025-12-10T11:00:00Z,card,989.45,EUR,success,
PAT-00157,INV-00146,2025-11-12T11:00:00Z,card,33977.75,ZAR,success,
PAT-00158,INV-00147,2025-12-27T11:00:00Z,card,7057.89,EUR,success,
PAT-00159,INV-00148,2025-11-12T11:00:00Z,card,282.8,CAD,success,
PAT-00160,INV-00149,2025-12-14T11:00:00Z,card,33284.81,CNY,failed,insufficient_funds
PAT-00161,INV-00149,2025-12-14T17:00:00Z,bank_transfer,33284.81,CNY,success,
PAT-00162,INV-00150,2025-11-05T11:00:00Z,card,5547.09,EUR,failed,card_declined
PAT-00163,INV-00151,2025-12-24T11:00:00Z,card,1635.42,EUR,success,
PAT-00164,INV-00152,2025-12-18T11:00:00Z,card,1516.23,EUR,success,
PAT-00165,INV-00153,2025-12-05T11:00:00Z,card,4769.41,AUD,success,
PAT-00166,INV-00154,2025-12-12T11:00:00Z,card,6486.57,EUR,success,
PAT-00167,INV-00155,2025-12-28T11:00:00Z,card,83202.81,TRY,failed,card_declined
PAT-00168,INV-00155,2025-12-28T17:00:00Z,bank_transfer,83202.81,TRY,success,
PAT-00169,INV-00156,2025-12-14T11:00:00Z,card,244552.62,JPY,success,
PAT-00170,INV-00157,2025-12-25T11:00:00Z,card,1205.0,AUD,failed,insufficient_funds
PAT-00171,INV-00158,2025-11-24T11:00:00Z,card,411842.28,TRY,success,
PAT-00172,INV-00159,2025-12-27T11:00:00Z,card,982.98,EUR,success,
PAT-00173,INV-00160,2025-12-19T11:00:00Z,card,303077.85,JPY,success,
PAT-00174,INV-00161,2025-12-21T11:00:00Z,card,831.88,EUR,success,
PAT-00175,INV-00162,2025-12-08T11:00:00Z,card,3098.43,CNY,success,
PAT-00176,INV-00163,2025-12-06T11:00:00Z,card,1461.12,EUR,success,
PAT-00177,INV-00164,2025-12-01T11:00:00Z,card,863.64,EUR,success,
PAT-00178,INV-00165,2025-12-23T11:00:00Z,card,6388.34,EUR,success,
PAT-00179,INV-00166,2025-11-28T11:00:00Z,card,6581.1,USD,failed,insufficient_funds
PAT-00180,INV-00166,2025-11-28T17:00:00Z,bank_transfer,6581.1,USD,success,
PAT-00181,INV-00167,2025-12-26T11:00:00Z,card,13675.04,BRL,success,
PAT-00182,INV-00168,2026-01-01T11:00:00Z,card,1898.03,EUR,success,
PAT-00183,INV-00169,2025-12-22T11:00:00Z,card,1415118.29,JPY,success,
PAT-00184,INV-00170,2025-11-18T11:00:00Z,card,11632.53,CNY,success,
PAT-00185,INV-00171,2025-12-19T11:00:00Z,card,2765.65,SGD,success,
PAT-00186,INV-00172,2025-12-25T11:00:00Z,card,4341.28,AUD,success,
PAT-00187,INV-00173,2025-12-20T11:00:00Z,card,17605.8,ZAR,success,
PAT-00188,INV-00174,2026-01-03T11:00:00Z,card,2305.82,SGD,success,
