payment_id,payment_attempt_id,invoice_id,payment_datetime_utc,method,amount,currency,allocation_status
PMT-00001,PAT-00002,INV-00001,2025-12-10T17:00:00Z,bank_transfer,1910.47,EUR,overpaid_unallocated
PMT-00002,PAT-00003,INV-00002,2025-12-15T11:00:00Z,card,81372.82,JPY,fully_allocated
PMT-00003,PAT-00004,INV-00003,2025-12-22T11:00:00Z,card,10485.89,BRL,fully_allocated
PMT-00004,PAT-00005,INV-00004,2026-03-24T09:00:00Z,card,2099.5,USD,fully_allocated
PMT-00005,PAT-00006,INV-00005,2025-12-27T11:00:00Z,card,3084.78,CAD,fully_allocated
PMT-00006,PAT-00007,INV-00006,2025-11-19T11:00:00Z,card,1437.93,GBP,fully_allocated
PMT-00007,PAT-00008,INV-00007,2025-11-16T11:00:00Z,card,500.18,USD,fully_allocated
PMT-00008,PAT-00009,INV-00008,2025-12-10T11:00:00Z,card,1929.57,USD,fully_allocated
PMT-00009,PAT-00010,INV-00009,2025-11-19T11:00:00Z,card,3871.35,CNY,fully_allocated
PMT-00010,PAT-00011,INV-00010,2025-11-30T11:00:00Z,card,1942.17,GBP,fully_allocated
PMT-00011,PAT-00012,INV-00011,2025-12-23T11:00:00Z,card,1011.67,SGD,fully_allocated
PMT-00012,PAT-00014,INV-00012,2025-12-15T17:00:00Z,bank_transfer,33310.11,ZAR,fully_allocated
PMT-00013,PAT-00015,INV-00013,2025-12-30T11:00:00Z,card,1941.72,EUR,fully_allocated
PMT-00014,PAT-00016,INV-00014,2025-11-17T11:00:00Z,card,7667.69,AED,fully_allocated
PMT-00015,PAT-00017,INV-00015,2026-01-03T11:00:00Z,card,573.05,USD,fully_allocated
PMT-00016,PAT-00019,INV-00017,2025-12-01T11:00:00Z,card,21708.66,BRL,fully_allocated
PMT-00017,PAT-00020,INV-00018,2025-12-18T11:00:00Z,card,1906.91,EUR,fully_allocated
PMT-00018,PAT-00021,INV-00019,2025-11-18T11:00:00Z,card,1632.61,EUR,fully_allocated
PMT-00019,PAT-00022,INV-00020,2025-11-28T11:00:00Z,card,6755.78,CNY,fully_allocated
PMT-00020,PAT-00023,INV-00021,2025-11-26T11:00:00Z,card,9512.95,BRL,fully_allocated
PMT-00021,PAT-00024,INV-00022,2025-11-10T11:00:00Z,card,1641.88,AUD,fully_allocated
PMT-00022,PAT-00025,INV-00023,2026-01-11T11:00:00Z,card,252031.7,JPY,fully_allocated
PMT-00023,PAT-00028,INV-00025,2025-12-01T17:00:00Z,bank_transfer,3444.46,USD,fully_allocated
PMT-00024,PAT-00029,INV-00026,2026-01-14T11:00:00Z,card,2835.97,EUR,fully_allocated
PMT-00025,PAT-00030,INV-00027,2025-12-13T11:00:00Z,card,65374.19,ZAR,fully_allocated
PMT-00026,PAT-00031,INV-00028,2025-12-05T11:00:00Z,card,2183.99,EUR,fully_allocated
PMT-00027,PAT-00032,INV-00029,2025-12-26T11:00:00Z,card,5362.3,AUD,fully_allocated
PMT-00028,PAT-00033,INV-00030,2025-12-29T11:00:00Z,card,3246.89,EUR,fully_allocated
PMT-00029,PAT-00034,INV-00031,2025-12-02T11:00:00Z,card,3241.02,GBP,fully_allocated
PMT-00030,PAT-00035,INV-00032,2025-12-09T11:00:00Z,card,4081.18,AUD,fully_allocated
PMT-00031,PAT-00036,INV-00033,2025-12-21T11:00:00Z,card,2978.59,AUD,fully_allocated
PMT-00032,PAT-00037,INV-00034,2025-12-13T11:00:00Z,card,3139.79,EUR,fully_allocated
PMT-00033,PAT-00038,INV-00035,2026-01-03T11:00:00Z,card,3446.09,USD,fully_allocated
PMT-00034,PAT-00039,INV-00036,2025-11-29T11:00:00Z,card,1589.07,EUR,fully_allocated
PMT-00035,PAT-00040,INV-00037,2026-01-01T11:00:00Z,card,17641.65,TRY,fully_allocated
PMT-00036,PAT-00041,INV-00038,2025-11-20T11:00:00Z,card,2555.58,EUR,fully_allocated
PMT-00037,PAT-00042,INV-00039,2025-11-11T11:00:00Z,card,1913.5,SGD,fully_allocated
PMT-00038,PAT-00043,INV-00040,2025-11-21T11:00:00Z,card,771.92,EUR,fully_allocated
PMT-00039,PAT-00044,INV-00041,2026-01-17T11:00:00Z,card,911026.54,JPY,fully_allocated
PMT-00040,PAT-00045,INV-00042,2025-11-08T11:00:00Z,card,3954.85,EUR,fully_allocated
PMT-00041,PAT-00046,INV-00043,2025-12-07T11:00:00Z,card,2280.19,AUD,fully_allocated
PMT-00042,PAT-00047,INV-00044,2025-11-28T11:00:00Z,card,1295.93,EUR,fully_allocated
PMT-00043,PAT-00048,INV-00045,2025-12-30T11:00:00Z,card,10562.56,AED,fully_allocated
PMT-00044,PAT-00050,INV-00046,2025-12-11T17:00:00Z,bank_transfer,4300.96,BRL,fully_allocated
PMT-00045,PAT-00051,INV-00047,2025-11-19T11:00:00Z,card,68903.03,ZAR,fully_allocated
PMT-00046,PAT-00052,INV-00048,2025-12-26T11:00:00Z,card,3117.42,GBP,fully_allocated
PMT-00047,PAT-00053,INV-00049,2025-11-25T11:00:00Z,card,3983.48,EUR,fully_allocated
PMT-00048,PAT-00054,INV-00050,2025-12-16T11:00:00Z,card,2052.97,AUD,fully_allocated
PMT-00049,PAT-00056,INV-00051,2025-12-09T17:00:00Z,bank_transfer,21190.71,CNY,fully_allocated
PMT-00050,PAT-00057,INV-00052,2025-12-08T11:00:00Z,card,569.92,EUR,fully_allocated
PMT-00051,PAT-00058,INV-00053,2025-11-08T11:00:00Z,card,11613.93,AUD,fully_allocated
PMT-00052,PAT-00059,INV-00054,2025-12-02T11:00:00Z,card,1456.95,AUD,fully_allocated
PMT-00053,PAT-00060,INV-00055,2025-11-10T11:00:00Z,card,8621.95,EUR,fully_allocated
PMT-00054,PAT-00061,INV-00056,2025-12-11T11:00:00Z,card,115024.21,TRY,fully_allocated
PMT-00055,PAT-00062,INV-00057,2026-01-18T11:00:00Z,card,8431.22,BRL,fully_allocated
PMT-00056,PAT-00064,INV-00058,2026-01-04T17:00:00Z,bank_transfer,3607.6,AUD,fully_allocated
PMT-00057,PAT-00066,INV-00060,2025-11-01T11:00:00Z,card,1987.54,GBP,fully_allocated
PMT-00058,PAT-00067,INV-00061,2025-12-12T11:00:00Z,card,6842.96,EUR,fully_allocated
PMT-00059,PAT-00068,INV-00062,2025-12-06T11:00:00Z,card,977.42,EUR,fully_allocated
PMT-00060,PAT-00069,INV-00063,2025-11-23T11:00:00Z,card,3205.8,EUR,fully_allocated
PMT-00061,PAT-00070,INV-00064,2025-12-30T11:00:00Z,card,561.23,CAD,fully_allocated
PMT-00062,PAT-00071,INV-00065,2025-12-08T11:00:00Z,card,1822.0,USD,fully_allocated
PMT-00063,PAT-00072,INV-00066,2025-11-24T11:00:00Z,card,100514.87,ZAR,fully_allocated
PMT-00064,PAT-00074,INV-00067,2025-11-23T17:00:00Z,bank_transfer,6814.78,EUR,fully_allocated
PMT-00065,PAT-00075,INV-00068,2025-12-02T11:00:00Z,card,1979.8,EUR,fully_allocated
PMT-00066,PAT-00077,INV-00069,2026-01-14T17:00:00Z,bank_transfer,31477.15,ZAR,fully_allocated
PMT-00067,PAT-00078,INV-00070,2025-12-19T11:00:00Z,card,10155.64,ZAR,fully_allocated
PMT-00068,PAT-00079,INV-00071,2025-12-29T11:00:00Z,card,1362.1,AUD,fully_allocated
PMT-00069,PAT-00080,INV-00072,2025-12-25T11:00:00Z,card,1058.06,CAD,fully_allocated
PMT-00070,PAT-00081,INV-00073,2026-01-04T11:00:00Z,card,2054.88,AUD,fully_allocated
PMT-00071,PAT-00082,INV-00074,2025-10-28T11:00:00Z,card,6237.22,CAD,fully_allocated
PMT-00072,PAT-00084,INV-00076,2025-12-03T11:00:00Z,card,1148.68,SGD,fully_allocated
PMT-00073,PAT-00085,INV-00077,2025-11-23T11:00:00Z,card,114478.53,JPY,fully_allocated
PMT-00074,PAT-00086,INV-00078,2025-11-16T11:00:00Z,card,69853.31,TRY,fully_allocated
PMT-00075,PAT-00088,INV-00079,2026-01-06T17:00:00Z,bank_transfer,704.46,EUR,fully_allocated
PMT-00076,PAT-00089,INV-00080,2026-01-04T11:00:00Z,card,3399.44,CAD,fully_allocated
PMT-00077,PAT-00090,INV-00081,2025-11-12T11:00:00Z,card,752.15,EUR,fully_allocated
PMT-00078,PAT-00091,INV-00082,2025-12-08T11:00:00Z,card,1167.08,CAD,fully_allocated
PMT-00079,PAT-00092,INV-00083,2025-12-16T11:00:00Z,card,1037.65,CAD,fully_allocated
PMT-00080,PAT-00093,INV-00084,2025-12-24T11:00:00Z,card,119608.78,ZAR,fully_allocated
PMT-00081,PAT-00094,INV-00085,2025-11-21T11:00:00Z,card,485.55,EUR,fully_allocated
PMT-00082,PAT-00095,INV-00086,2025-12-28T11:00:00Z,card,7736.53,AUD,fully_allocated
PMT-00083,PAT-00096,INV-00087,2025-11-20T11:00:00Z,card,877.37,EUR,fully_allocated
PMT-00084,PAT-00097,INV-00088,2025-12-11T11:00:00Z,card,364433.34,JPY,fully_allocated
PMT-00085,PAT-00098,INV-00089,2025-12-02T11:00:00Z,card,1944.98,GBP,fully_allocated
PMT-00086,PAT-00099,INV-00090,2025-12-09T11:00:00Z,card,591.47,GBP,fully_allocated
PMT-00087,PAT-00100,INV-00091,2025-12-02T11:00:00Z,card,1596.78,GBP,fully_allocated
PMT-00088,PAT-00101,INV-00092,2025-11-05T11:00:00Z,card,12878.3,CNY,fully_allocated
PMT-00089,PAT-00102,INV-00093,2025-12-18T11:00:00Z,card,118084.07,JPY,fully_allocated
PMT-00090,PAT-00103,INV-00094,2026-01-05T11:00:00Z,card,16561.31,AUD,fully_allocated
PMT-00091,PAT-00104,INV-00095,2025-12-03T11:00:00Z,card,37604.1,ZAR,fully_allocated
PMT-00092,PAT-00105,INV-00096,2025-11-18T11:00:00Z,card,2936.26,AUD,fully_allocated
PMT-00093,PAT-00107,INV-00098,2025-11-22T11:00:00Z,card,2267.48,EUR,fully_allocated
PMT-00094,PAT-00108,INV-00099,2025-12-06T11:00:00Z,card,808.39,EUR,fully_allocated
PMT-00095,PAT-00109,INV-00100,2025-11-14T11:00:00Z,card,979.29,EUR,fully_allocated
PMT-00096,PAT-00110,INV-00101,2025-12-07T11:00:00Z,card,957368.22,JPY,fully_allocated
PMT-00097,PAT-00111,INV-00102,2025-12-01T11:00:00Z,card,57956.44,CNY,fully_allocated
PMT-00098,PAT-00112,INV-00103,2025-11-11T11:00:00Z,card,2893.12,USD,fully_allocated
PMT-00099,PAT-00113,INV-00104,2025-12-09T11:00:00Z,card,1018.72,EUR,fully_allocated
PMT-00100,PAT-00114,INV-00105,2025-12-09T11:00:00Z,card,3789.45,AUD,fully_allocated
PMT-00101,PAT-00115,INV-00106,2025-11-19T11:00:00Z,card,400305.26,ZAR,fully_allocated
PMT-00102,PAT-00116,INV-00107,2025-12-16T11:00:00Z,card,2017.92,EUR,fully_allocated
PMT-00103,PAT-00117,INV-00108,2026-01-11T11:00:00Z,card,15999.73,ZAR,fully_allocated
PMT-00104,PAT-00118,INV-00109,2025-12-04T11:00:00Z,card,3176.76,EUR,fully_allocated
PMT-00105,PAT-00119,INV-00110,2025-11-06T11:00:00Z,card,1448.08,USD,fully_allocated
PMT-00106,PAT-00120,INV-00111,2025-12-27T11:00:00Z,card,513.53,CAD,fully_allocated
PMT-00107,PAT-00121,INV-00112,2025-12-20T11:00:00Z,card,624499.4,JPY,fully_allocated
PMT-00108,PAT-00123,INV-00113,2025-11-17T17:00:00Z,bank_transfer,280.92,GBP,fully_allocated
PMT-00109,PAT-00124,INV-00114,2025-12-02T11:00:00Z,card,15762.84,BRL,fully_allocated
PMT-00110,PAT-00125,INV-00115,2026-01-19T11:00:00Z,card,1623.24,EUR,fully_allocated
PMT-00111,PAT-00126,INV-00116,2025-12-12T11:00:00Z,card,466.01,EUR,fully_allocated
PMT-00112,PAT-00127,INV-00117,2025-11-23T11:00:00Z,card,7147.06,GBP,fully_allocated
PMT-00113,PAT-00128,INV-00118,2025-12-09T11:00:00Z,card,1900.71,CNY,fully_allocated
PMT-00114,PAT-00129,INV-00119,2025-12-15T11:00:00Z,card,4897.23,EUR,fully_allocated
PMT-00115,PAT-00130,INV-00120,2025-11-19T11:00:00Z,card,829.64,EUR,fully_allocated
PMT-00116,PAT-00131,INV-00121,2025-12-10T11:00:00Z,card,5939.78,EUR,fully_allocated
PMT-00117,PAT-00132,INV-00122,2025-12-20T11:00:00Z,card,10073.12,SGD,fully_allocated
PMT-00118,PAT-00133,INV-00123,2025-11-17T11:00:00Z,card,72142.21,JPY,fully_allocated
PMT-00119,PAT-00134,INV-00124,2025-11-04T11:00:00Z,card,6522.27,CNY,fully_allocated
PMT-00120,PAT-00135,INV-00125,2025-12-27T11:00:00Z,card,3775.65,CAD,fully_allocated
PMT-00121,PAT-00136,INV-00126,2025-12-22T11:00:00Z,card,129970.95,TRY,fully_allocated
PMT-00122,PAT-00137,INV-00127,2025-11-25T11:00:00Z,card,2170.07,EUR,fully_allocated
PMT-00123,PAT-00138,INV-00128,2025-12-20T11:00:00Z,card,971.87,SGD,fully_allocated
PMT-00124,PAT-00140,INV-00130,2025-12-20T11:00:00Z,card,20554.85,BRL,fully_allocated
PMT-00125,PAT-00141,INV-00131,2025-12-20T11:00:00Z,card,13058.25,EUR,fully_allocated
PMT-00126,PAT-00142,INV-00132,2025-12-24T11:00:00Z,card,897.05,EUR,fully_allocated
PMT-00127,PAT-00143,INV-00133,2025-11-12T11:00:00Z,card,70999.69,TRY,fully_allocated
PMT-00128,PAT-00144,INV-00134,2025-12-20T11:00:00Z,card,1370.76,EUR,fully_allocated
PMT-00129,PAT-00145,INV-00135,2025-12-27T11:00:00Z,card,20130.04,BRL,fully_allocated
PMT-00130,PAT-00146,INV-00136,2025-12-15T11:00:00Z,card,2571.58,AED,fully_allocated
PMT-00131,PAT-00148,INV-00138,2025-11-03T11:00:00Z,card,3267.63,SGD,fully_allocated
