booking_passenger_id,booking_id,passenger_id,passenger_type,seq_in_booking
BKP-00001,BKG-00001,PSG-00086,adult,1
BKP-00002,BKG-00002,PSG-00128,adult,1
BKP-00003,BKG-00003,PSG-00036,adult,1
BKP-00004,BKG-00004,PSG-00003,adult,1
BKP-00005,BKG-00004,PSG-00101,adult,2
BKP-00006,BKG-00005,PSG-00089,adult,1
BKP-00007,BKG-00005,PSG-00135,adult,2
BKP-00008,BKG-00006,PSG-00130,adult,1
BKP-00009,BKG-00006,PSG-00001,adult,2
BKP-00010,BKG-00007,PSG-00125,adult,1
BKP-00011,BKG-00008,PSG-00128,child,1
BKP-00012,BKG-00009,PSG-00042,adult,1
BKP-00013,BKG-00009,PSG-00082,adult,2
BKP-00014,BKG-00010,PSG-00010,adult,1
BKP-00015,BKG-00010,PSG-00072,child,2
BKP-00016,BKG-00010,PSG-00060,adult,3
BKP-00017,BKG-00011,PSG-00122,adult,1
BKP-00018,BKG-00012,PSG-00072,adult,1
BKP-00019,BKG-00012,PSG-00073,child,2
BKP-00020,BKG-00013,PSG-00107,adult,1
BKP-00021,BKG-00014,PSG-00044,adult,1
BKP-00022,BKG-00015,PSG-00108,adult,1
BKP-00023,BKG-00016,PSG-00029,child,1
BKP-00024,BKG-00016,PSG-00148,adult,2
BKP-00025,BKG-00017,PSG-00048,adult,1
BKP-00026,BKG-00017,PSG-00047,adult,2
BKP-00027,BKG-00018,PSG-00062,adult,1
BKP-00028,BKG-00019,PSG-00145,adult,1
BKP-00029,BKG-00020,PSG-00132,adult,1
BKP-00030,BKG-00021,PSG-00080,adult,1
BKP-00031,BKG-00021,PSG-00023,adult,2
BKP-00032,BKG-00021,PSG-00119,adult,3
BKP-00033,BKG-00022,PSG-00111,adult,1
BKP-00034,BKG-00023,PSG-00084,adult,1
BKP-00035,BKG-00023,PSG-00130,adult,2
BKP-00036,BKG-00024,PSG-00135,adult,1
BKP-00037,BKG-00025,PSG-00145,adult,1
BKP-00038,BKG-00025,PSG-00143,adult,2
BKP-00039,BKG-00025,PSG-00078,adult,3
BKP-00040,BKG-00026,PSG-00063,adult,1
BKP-00041,BKG-00026,PSG-00105,adult,2
BKP-00042,BKG-00027,PSG-00122,adult,1
BKP-00043,BKG-00028,PSG-00093,child,1
BKP-00044,BKG-00028,PSG-00147,adult,2
BKP-00045,BKG-00028,PSG-00041,adult,3
BKP-00046,BKG-00029,PSG-00051,adult,1
BKP-00047,BKG-00030,PSG-00130,adult,1
BKP-00048,BKG-00031,PSG-00141,child,1
BKP-00049,BKG-00031,PSG-00047,adult,2
BKP-00050,BKG-00032,PSG-00041,adult,1
BKP-00051,BKG-00033,PSG-00054,adult,1
BKP-00052,BKG-00034,PSG-00081,adult,1
BKP-00053,BKG-00034,PSG-00135,adult,2
BKP-00054,BKG-00034,PSG-00017,adult,3
BKP-00055,BKG-00035,PSG-00087,adult,1
BKP-00056,BKG-00036,PSG-00067,adult,1
BKP-00057,BKG-00037,PSG-00130,adult,1
BKP-00058,BKG-00038,PSG-00107,adult,1
BKP-00059,BKG-00038,PSG-00011,adult,2
BKP-00060,BKG-00038,PSG-00111,adult,3
BKP-00061,BKG-00039,PSG-00020,adult,1
BKP-00062,BKG-00040,PSG-00146,adult,1
BKP-00063,BKG-00041,PSG-00072,infant,1
BKP-00064,BKG-00042,PSG-00042,adult,1
BKP-00065,BKG-00043,PSG-00092,adult,1
BKP-00066,BKG-00043,PSG-00132,adult,2
BKP-00067,BKG-00044,PSG-00026,adult,1
BKP-00068,BKG-00044,PSG-00126,adult,2
BKP-00069,BKG-00044,PSG-00139,adult,3
BKP-00070,BKG-00045,PSG-00008,adult,1
BKP-00071,BKG-00045,PSG-00123,adult,2
BKP-00072,BKG-00046,PSG-00137,adult,1
BKP-00073,BKG-00047,PSG-00071,adult,1
BKP-00074,BKG-00048,PSG-00039,adult,1
BKP-00075,BKG-00049,PSG-00075,adult,1
BKP-00076,BKG-00049,PSG-00031,adult,2
BKP-00077,BKG-00050,PSG-00144,child,1
BKP-00078,BKG-00050,PSG-00111,adult,2
BKP-00079,BKG-00051,PSG-00054,adult,1
BKP-00080,BKG-00052,PSG-00042,adult,1
BKP-00081,BKG-00053,PSG-00035,adult,1
BKP-00082,BKG-00053,PSG-00019,adult,2
BKP-00083,BKG-00054,PSG-00077,adult,1
BKP-00084,BKG-00055,PSG-00085,adult,1
BKP-00085,BKG-00055,PSG-00022,adult,2
BKP-00086,BKG-00055,PSG-00092,adult,3
BKP-00087,BKG-00056,PSG-00049,adult,1
BKP-00088,BKG-00056,PSG-00135,child,2
BKP-00089,BKG-00056,PSG-00004,adult,3
BKP-00090,BKG-00057,PSG-00012,adult,1
BKP-00091,BKG-00057,PSG-00067,adult,2
BKP-00092,BKG-00058,PSG-00141,adult,1
BKP-00093,BKG-00058,PSG-00106,adult,2
BKP-00094,BKG-00059,PSG-00015,adult,1
BKP-00095,BKG-00059,PSG-00016,adult,2
BKP-00096,BKG-00060,PSG-00001,adult,1
BKP-00097,BKG-00060,PSG-00082,adult,2
BKP-00098,BKG-00060,PSG-00080,adult,3
BKP-00099,BKG-00061,PSG-00125,adult,1
BKP-00100,BKG-00062,PSG-00120,child,1
BKP-00101,BKG-00062,PSG-00049,adult,2
BKP-00102,BKG-00063,PSG-00049,adult,1
BKP-00103,BKG-00064,PSG-00047,infant,1
BKP-00104,BKG-00065,PSG-00073,adult,1
BKP-00105,BKG-00065,PSG-00004,adult,2
BKP-00106,BKG-00065,PSG-00110,adult,3
BKP-00107,BKG-00066,PSG-00069,adult,1
BKP-00108,BKG-00066,PSG-00077,adult,2
BKP-00109,BKG-00066,PSG-00026,adult,3
BKP-00110,BKG-00067,PSG-00104,adult,1
BKP-00111,BKG-00068,PSG-00046,adult,1
BKP-00112,BKG-00068,PSG-00009,adult,2
BKP-00113,BKG-00068,PSG-00008,adult,3
BKP-00114,BKG-00069,PSG-00109,adult,1
BKP-00115,BKG-00069,PSG-00019,adult,2
BKP-00116,BKG-00070,PSG-00052,adult,1
BKP-00117,BKG-00070,PSG-00013,adult,2
BKP-00118,BKG-00071,PSG-00057,adult,1
BKP-00119,BKG-00072,PSG-00131,adult,1
BKP-00120,BKG-00073,PSG-00044,adult,1
BKP-00121,BKG-00073,PSG-00145,adult,2
BKP-00122,BKG-00074,PSG-00061,adult,1
BKP-00123,BKG-00074,PSG-00037,infant,2
BKP-00124,BKG-00075,PSG-00025,adult,1
BKP-00125,BKG-00076,PSG-00021,adult,1
BKP-00126,BKG-00077,PSG-00041,adult,1
BKP-00127,BKG-00078,PSG-00095,child,1
BKP-00128,BKG-00078,PSG-00146,adult,2
BKP-00129,BKG-00079,PSG-00129,adult,1
BKP-00130,BKG-00080,PSG-00113,adult,1
BKP-00131,BKG-00080,PSG-00017,adult,2
BKP-00132,BKG-00080,PSG-00004,adult,3
BKP-00133,BKG-00081,PSG-00030,adult,1
BKP-00134,BKG-00082,PSG-00001,adult,1
BKP-00135,BKG-00083,PSG-00103,adult,1
BKP-00136,BKG-00084,PSG-00038,adult,1
BKP-00137,BKG-00084,PSG-00081,adult,2
BKP-00138,BKG-00085,PSG-00150,adult,1
BKP-00139,BKG-00086,PSG-00001,adult,1
BKP-00140,BKG-00087,PSG-00042,adult,1
BKP-00141,BKG-00088,PSG-00143,adult,1
BKP-00142,BKG-00088,PSG-00035,adult,2
BKP-00143,BKG-00089,PSG-00067,adult,1
