booking_id,booking_reference,airline_code,route_id,return_route_id,trip_type,booking_channel,booking_date_utc,point_of_sale_country,currency,status,corporate_account_id,travel_agent_id,discount_code,outbound_flight_instance_id,return_flight_instance_id
BKG-00001,RDQ8PT,PC,RTE-00031,,one_way,travel_agent,2025-12-10T09:00:00Z,IT,EUR,confirmed,,TA-003,,FLT-00552,
BKG-00002,8G765C,DF,RTE-00033,RTE-00034,round_trip,travel_agent,2025-12-15T09:00:00Z,JP,JPY,confirmed,,TA-007,,FLT-00578,FLT-00603
BKG-00003,PLN5JV,PC,RTE-00029,,one_way,direct_website,2025-12-22T09:00:00Z,BR,BRL,cancelled,,,,FLT-00503,
BKG-00004,6P53YE,PC,RTE-00028,,one_way,call_center,2026-01-08T09:00:00Z,US,USD,confirmed,,TA-008,,FLT-00498,
BKG-00005,MTL2DX,ZM,RTE-00011,,one_way,call_center,2025-12-27T09:00:00Z,CA,CAD,confirmed,,TA-001,,FLT-00187,
BKG-00006,4W3YTG,DF,RTE-00036,RTE-00035,round_trip,call_center,2025-11-19T09:00:00Z,GB,GBP,confirmed,,TA-008,,FLT-00629,FLT-00619
BKG-00007,K2JW8Z,DF,RTE-00034,RTE-00033,round_trip,direct_website,2025-11-16T09:00:00Z,ES,EUR,confirmed,,TA-003,,FLT-00598,FLT-00584
BKG-00008,25ZVNJ,ZM,RTE-00015,,one_way,corporate_portal,2025-12-10T09:00:00Z,US,USD,confirmed,CORP-002,,CORP-CORP-002,FLT-00249,
BKG-00009,H9GT33,SL,RTE-00020,RTE-00019,round_trip,corporate_portal,2025-11-19T09:00:00Z,CN,CNY,confirmed,CORP-003,,CORP-CORP-003,FLT-00343,FLT-00331
BKG-00010,ZCXSHL,NB,RTE-00005,RTE-00006,round_trip,corporate_portal,2025-11-30T09:00:00Z,GB,GBP,confirmed,CORP-005,,CORP-CORP-005,FLT-00068,FLT-00088
BKG-00011,GGEQW5,PC,RTE-00025,,one_way,call_center,2025-12-23T09:00:00Z,SG,SGD,cancelled,,,LOYALTY5,FLT-00441,
BKG-00012,XKVPCN,NB,RTE-00005,RTE-00006,round_trip,direct_website,2025-12-15T09:00:00Z,ZA,ZAR,confirmed,,,,FLT-00077,FLT-00108
BKG-00013,EPCMR7,SL,RTE-00018,,one_way,corporate_portal,2025-12-30T09:00:00Z,ES,EUR,confirmed,CORP-005,,CORP-CORP-005,FLT-00315,
BKG-00014,VSTK7Q,PC,RTE-00031,,one_way,travel_agent,2025-11-17T09:00:00Z,AE,AED,confirmed,,TA-008,,FLT-00542,
BKG-00015,CWAJL9,PC,RTE-00026,RTE-00025,round_trip,mobile_app,2026-01-03T09:00:00Z,US,USD,confirmed,CORP-002,,CORP-CORP-002,FLT-00453,FLT-00441
BKG-00016,TZRG2S,ZM,RTE-00012,RTE-00011,round_trip,call_center,2026-01-06T09:00:00Z,CN,CNY,confirmed,,,,FLT-00208,FLT-00187
BKG-00017,A48FGB,NB,RTE-00003,,one_way,direct_website,2025-12-01T09:00:00Z,BR,BRL,confirmed,CORP-002,,CORP-CORP-002,FLT-00052,
BKG-00018,R8PDVU,ZM,RTE-00012,RTE-00011,round_trip,call_center,2025-12-18T09:00:00Z,DE,EUR,confirmed,,,,FLT-00212,FLT-00187
BKG-00019,9B6CBD,ZM,RTE-00014,,one_way,travel_agent,2025-11-18T09:00:00Z,FR,EUR,confirmed,,TA-001,,FLT-00239,
