ticket_segment_id,ticket_id,segment_sequence,flight_instance_id,cabin,fare_basis_code,segment_status
SEG-00001,TKT-00001,1,FLT-00552,C,CFLBIZ,confirmed
SEG-00002,TKT-00002,1,FLT-00578,Y,YFLECO,flown
SEG-00003,TKT-00002,2,FLT-00603,Y,YFLECO,flown
SEG-00004,TKT-00003,1,FLT-00503,W,WFLPEY,cancelled
SEG-00005,TKT-00004,1,FLT-00498,Y,QOWECO,confirmed
SEG-00006,TKT-00005,1,FLT-00498,Y,QOWECO,confirmed
SEG-00007,TKT-00006,1,FLT-00187,W,WFLPEY,confirmed
SEG-00008,TKT-00007,1,FLT-00187,W,WFLPEY,confirmed
SEG-00009,TKT-00008,1,FLT-00629,Y,YFLECO,flown
SEG-00010,TKT-00008,2,FLT-00619,Y,YFLECO,confirmed
SEG-00011,TKT-00009,1,FLT-00629,Y,YFLECO,flown
SEG-00012,TKT-00009,2,FLT-00619,Y,YFLECO,confirmed
SEG-00013,TKT-00010,1,FLT-00598,Y,YFLECO,flown
SEG-00014,TKT-00010,2,FLT-00584,Y,YFLECO,flown
SEG-00015,TKT-00011,1,FLT-00249,F,FFLFST,flown
SEG-00016,TKT-00012,1,FLT-00343,Y,QOWECO,flown
SEG-00017,TKT-00012,2,FLT-00331,Y,QOWECO,flown
SEG-00018,TKT-00013,1,FLT-00343,Y,QOWECO,flown
SEG-00019,TKT-00013,2,FLT-00331,Y,QOWECO,flown
SEG-00020,TKT-00014,1,FLT-00068,Y,QOWECO,flown
SEG-00021,TKT-00014,2,FLT-00088,Y,QOWECO,flown
SEG-00022,TKT-00015,1,FLT-00068,Y,QOWECO,flown
SEG-00023,TKT-00015,2,FLT-00088,Y,QOWECO,flown
SEG-00024,TKT-00016,1,FLT-00068,Y,QOWECO,flown
SEG-00025,TKT-00016,2,FLT-00088,Y,QOWECO,flown
SEG-00026,TKT-00017,1,FLT-00441,Y,YFLECO,cancelled
SEG-00027,TKT-00018,1,FLT-00077,Y,QOWECO,confirmed
SEG-00028,TKT-00018,2,FLT-00108,Y,QOWECO,confirmed
SEG-00029,TKT-00019,1,FLT-00077,Y,QOWECO,confirmed
SEG-00030,TKT-00019,2,FLT-00108,Y,QOWECO,confirmed
SEG-00031,TKT-00020,1,FLT-00315,C,CFLBIZ,flown
SEG-00032,TKT-00021,1,FLT-00542,C,CFLBIZ,flown
SEG-00033,TKT-00022,1,FLT-00453,Y,QOWECO,flown
SEG-00034,TKT-00022,2,FLT-00441,Y,QOWECO,flown
SEG-00035,TKT-00023,1,FLT-00208,C,CFLBIZ,flown
SEG-00036,TKT-00023,2,FLT-00187,C,CFLBIZ,confirmed
SEG-00037,TKT-00024,1,FLT-00208,C,CFLBIZ,flown
SEG-00038,TKT-00024,2,FLT-00187,C,CFLBIZ,confirmed
SEG-00039,TKT-00025,1,FLT-00052,F,FFLFST,confirmed
SEG-00040,TKT-00026,1,FLT-00052,F,FFLFST,confirmed
SEG-00041,TKT-00027,1,FLT-00212,C,CNRBIZ,confirmed
SEG-00042,TKT-00027,2,FLT-00187,C,CNRBIZ,confirmed
SEG-00043,TKT-00028,1,FLT-00239,C,CNRBIZ,confirmed
SEG-00044,TKT-00029,1,FLT-00441,Y,YFLECO,flown
SEG-00045,TKT-00030,1,FLT-00763,Y,QOWECO,flown
SEG-00046,TKT-00031,1,FLT-00763,Y,QOWECO,flown
SEG-00047,TKT-00032,1,FLT-00763,Y,QOWECO,flown
SEG-00048,TKT-00033,1,FLT-00276,C,CFLBIZ,flown
SEG-00049,TKT-00034,1,FLT-00159,W,WFLPEY,confirmed
SEG-00050,TKT-00035,1,FLT-00159,W,WFLPEY,confirmed
SEG-00051,TKT-00036,1,FLT-00369,F,FFLFST,flown
SEG-00052,TKT-00037,1,FLT-00522,Y,YFLECO,flown
SEG-00053,TKT-00037,2,FLT-00506,Y,YFLECO,flown
SEG-00054,TKT-00038,1,FLT-00522,Y,YFLECO,flown
SEG-00055,TKT-00038,2,FLT-00506,Y,YFLECO,flown
SEG-00056,TKT-00039,1,FLT-00522,Y,YFLECO,flown
SEG-00057,TKT-00039,2,FLT-00506,Y,YFLECO,flown
SEG-00058,TKT-00040,1,FLT-00713,W,WFLPEY,confirmed
SEG-00059,TKT-00040,2,FLT-00700,W,WFLPEY,confirmed
SEG-00060,TKT-00041,1,FLT-00713,W,WFLPEY,confirmed
SEG-00061,TKT-00041,2,FLT-00700,W,WFLPEY,confirmed
SEG-00062,TKT-00042,1,FLT-00600,F,FFLFST,flown
SEG-00063,TKT-00042,2,FLT-00580,F,FFLFST,flown
SEG-00064,TKT-00043,1,FLT-00355,W,WFLPEY,flown
SEG-00065,TKT-00043,2,FLT-00381,W,WFLPEY,flown
SEG-00066,TKT-00044,1,FLT-00355,W,WFLPEY,flown
SEG-00067,TKT-00044,2,FLT-00381,W,WFLPEY,flown
SEG-00068,TKT-00045,1,FLT-00355,W,WFLPEY,flown
SEG-00069,TKT-00045,2,FLT-00381,W,WFLPEY,flown
SEG-00070,TKT-00046,1,FLT-00463,C,CFLBIZ,flown
SEG-00071,TKT-00047,1,FLT-00494,C,CFLBIZ,flown
SEG-00072,TKT-00047,2,FLT-00480,C,CFLBIZ,confirmed
