ticket_id,ticket_number,booking_id,passenger_id,fare_class_code,issue_date_utc,ticket_status
TKT-00001,0700000000001,BKG-00001,PSG-00086,BIZFL,2025-12-10T09:00:00Z,issued
TKT-00002,0700000000002,BKG-00002,PSG-00128,ECOFL,2025-12-15T09:00:00Z,issued
TKT-00003,0700000000003,BKG-00003,PSG-00036,PREMY,2025-12-22T09:00:00Z,cancelled
TKT-00004,0700000000004,BKG-00004,PSG-00003,ECOSV,2026-01-08T09:00:00Z,issued
TKT-00005,0700000000005,BKG-00004,PSG-00101,ECOSV,2026-01-08T09:00:00Z,issued
TKT-00006,0700000000006,BKG-00005,PSG-00089,PREMY,2025-12-27T09:00:00Z,issued
TKT-00007,0700000000007,BKG-00005,PSG-00135,PREMY,2025-12-27T09:00:00Z,issued
TKT-00008,0700000000008,BKG-00006,PSG-00130,ECOFL,2025-11-19T09:00:00Z,issued
TKT-00009,0700000000009,BKG-00006,PSG-00001,ECOFL,2025-11-19T09:00:00Z,issued
TKT-00010,0700000000010,BKG-00007,PSG-00125,ECOFL,2025-11-16T09:00:00Z,issued
TKT-00011,0700000000011,BKG-00008,PSG-00128,FIRST,2025-12-10T09:00:00Z,issued
TKT-00012,0700000000012,BKG-00009,PSG-00042,ECOSV,2025-11-19T09:00:00Z,issued
TKT-00013,0700000000013,BKG-00009,PSG-00082,ECOSV,2025-11-19T09:00:00Z,issued
TKT-00014,0700000000014,BKG-00010,PSG-00010,ECOSV,2025-11-30T09:00:00Z,issued
TKT-00015,0700000000015,BKG-00010,PSG-00072,ECOSV,2025-11-30T09:00:00Z,issued
TKT-00016,0700000000016,BKG-00010,PSG-00060,ECOSV,2025-11-30T09:00:00Z,issued
TKT-00017,0700000000017,BKG-00011,PSG-00122,ECOFL,2025-12-23T09:00:00Z,cancelled
TKT-00018,0700000000018,BKG-00012,PSG-00072,ECOSV,2025-12-15T09:00:00Z,issued
TKT-00019,0700000000019,BKG-00012,PSG-00073,ECOSV,2025-12-15T09:00:00Z,issued
TKT-00020,0700000000020,BKG-00013,PSG-00107,BIZFL,2025-12-30T09:00:00Z,issued
TKT-00021,0700000000021,BKG-00014,PSG-00044,BIZFL,2025-11-17T09:00:00Z,issued
TKT-00022,0700000000022,BKG-00015,PSG-00108,ECOSV,2026-01-03T09:00:00Z,issued
TKT-00023,0700000000023,BKG-00016,PSG-00029,BIZFL,2026-01-06T09:00:00Z,issued
