aircraft_registration,airline_code,aircraft_type_code,manufactured_year
US-NB001,NB,A321,2013
US-NB002,NB,B738,2015
US-NB003,NB,E190,2017
US-NB004,NB,A321,2019
GB-ZM001,ZM,E190,2017
GB-ZM002,ZM,A321,2019
GB-ZM003,ZM,B738,2021
GB-ZM004,ZM,E190,2023
FR-SL001,SL,B738,2021
FR-SL002,SL,E190,2023
FR-SL003,SL,A321,2013
FR-SL004,SL,B738,2015
SG-PC001,PC,A321,2013
SG-PC002,PC,B738,2015
SG-PC003,PC,E190,2017
SG-PC004,PC,A321,2019
AE-DF001,DF,E190,2017
AE-DF002,DF,A321,2019
AE-DF003,DF,B738,2021
AE-DF004,DF,E190,2023
AU-SX001,SX,B738,2021
AU-SX002,SX,E190,2023
AU-SX003,SX,A321,2013
AU-SX004,SX,B738,2015
