flight_instance_id,schedule_id,flight_number,flight_date,origin_ident,destination_ident,aircraft_registration,scheduled_departure_utc,scheduled_arrival_utc,status
FLT-00001,SCH-00001,NB101,2025-12-26,KJFK,KSFO,US-NB001,2025-12-26T11:00:00Z,2025-12-26T16:45:00Z,cancelled
FLT-00002,SCH-00001,NB101,2025-12-29,KJFK,KSFO,US-NB004,2025-12-29T11:00:00Z,2025-12-29T16:45:00Z,completed
FLT-00003,SCH-00001,NB101,2025-12-31,KJFK,KSFO,US-NB001,2025-12-31T11:00:00Z,2025-12-31T16:45:00Z,completed
FLT-00004,SCH-00001,NB101,2026-01-02,KJFK,KSFO,US-NB004,2026-01-02T11:00:00Z,2026-01-02T16:45:00Z,completed
FLT-00005,SCH-00001,NB101,2026-01-05,KJFK,KSFO,US-NB001,2026-01-05T11:00:00Z,2026-01-05T16:45:00Z,completed
FLT-00006,SCH-00001,NB101,2026-01-07,KJFK,KSFO,US-NB004,2026-01-07T11:00:00Z,2026-01-07T16:45:00Z,completed
FLT-00007,SCH-00001,NB101,2026-01-09,KJFK,KSFO,US-NB001,2026-01-09T11:00:00Z,2026-01-09T16:45:00Z,completed
FLT-00008,SCH-00001,NB101,2026-01-12,KJFK,KSFO,US-NB004,2026-01-12T11:00:00Z,2026-01-12T16:45:00Z,completed
FLT-00009,SCH-00001,NB101,2026-01-14,KJFK,KSFO,US-NB001,2026-01-14T11:00:00Z,2026-01-14T16:45:00Z,completed
FLT-00010,SCH-00001,NB101,2026-01-16,KJFK,KSFO,US-NB004,2026-01-16T11:00:00Z,2026-01-16T16:45:00Z,scheduled
FLT-00011,SCH-00001,NB101,2026-01-19,KJFK,KSFO,US-NB001,2026-01-19T11:00:00Z,2026-01-19T16:45:00Z,scheduled
FLT-00012,SCH-00001,NB101,2026-01-21,KJFK,KSFO,US-NB004,2026-01-21T11:00:00Z,2026-01-21T16:45:00Z,scheduled
FLT-00013,SCH-00002,NB102,2025-12-25,KSFO,KJFK,US-NB001,2025-12-25T17:30:00Z,2025-12-25T23:15:00Z,completed
FLT-00014,SCH-00002,NB102,2025-12-27,KSFO,KJFK,US-NB004,2025-12-27T17:30:00Z,2025-12-27T23:15:00Z,completed
FLT-00015,SCH-00002,NB102,2025-12-30,KSFO,KJFK,US-NB001,2025-12-30T17:30:00Z,2025-12-30T23:15:00Z,completed
FLT-00016,SCH-00002,NB102,2026-01-01,KSFO,KJFK,US-NB004,2026-01-01T17:30:00Z,2026-01-01T23:15:00Z,completed
FLT-00017,SCH-00002,NB102,2026-01-03,KSFO,KJFK,US-NB001,2026-01-03T17:30:00Z,2026-01-03T23:15:00Z,completed
FLT-00018,SCH-00002,NB102,2026-01-06,KSFO,KJFK,US-NB004,2026-01-06T17:30:00Z,2026-01-06T23:15:00Z,completed
FLT-00019,SCH-00002,NB102,2026-01-08,KSFO,KJFK,US-NB001,2026-01-08T17:30:00Z,2026-01-08T23:15:00Z,completed
FLT-00020,SCH-00002,NB102,2026-01-10,KSFO,KJFK,US-NB004,2026-01-10T17:30:00Z,2026-01-10T23:15:00Z,completed
FLT-00021,SCH-00002,NB102,2026-01-13,KSFO,KJFK,US-NB001,2026-01-13T17:30:00Z,2026-01-13T23:15:00Z,completed
FLT-00022,SCH-00002,NB102,2026-01-15,KSFO,KJFK,US-NB004,2026-01-15T17:30:00Z,2026-01-15T23:15:00Z,scheduled
FLT-00023,SCH-00002,NB102,2026-01-17,KSFO,KJFK,US-NB001,2026-01-17T17:30:00Z,2026-01-17T23:15:00Z,scheduled
FLT-00024,SCH-00002,NB102,2026-01-20,KSFO,KJFK,US-NB004,2026-01-20T17:30:00Z,2026-01-20T23:15:00Z,scheduled
FLT-00025,SCH-00002,NB102,2026-01-22,KSFO,KJFK,US-NB001,2026-01-22T17:30:00Z,2026-01-22T23:15:00Z,scheduled
FLT-00026,SCH-00003,NB103,2025-12-25,KJFK,KORD,US-NB001,2025-12-25T17:00:00Z,2025-12-25T19:11:00Z,completed
FLT-00027,SCH-00003,NB103,2025-12-26,KJFK,KORD,US-NB002,2025-12-26T17:00:00Z,2025-12-26T19:11:00Z,completed
FLT-00028,SCH-00003,NB103,2025-12-27,KJFK,KORD,US-NB003,2025-12-27T17:00:00Z,2025-12-27T19:11:00Z,completed
FLT-00029,SCH-00003,NB103,2025-12-28,KJFK,KORD,US-NB004,2025-12-28T17:00:00Z,2025-12-28T19:11:00Z,completed
FLT-00030,SCH-00003,NB103,2025-12-29,KJFK,KORD,US-NB001,2025-12-29T17:00:00Z,2025-12-29T19:11:00Z,completed
FLT-00031,SCH-00003,NB103,2025-12-30,KJFK,KORD,US-NB002,2025-12-30T17:00:00Z,2025-12-30T19:11:00Z,completed
FLT-00032,SCH-00003,NB103,2025-12-31,KJFK,KORD,US-NB003,2025-12-31T17:00:00Z,2025-12-31T19:11:00Z,completed
FLT-00033,SCH-00003,NB103,2026-01-01,KJFK,KORD,US-NB004,2026-01-01T17:00:00Z,2026-01-01T19:11:00Z,completed
FLT-00034,SCH-00003,NB103,2026-01-02,KJFK,KORD,US-NB001,2026-01-02T17:00:00Z,2026-01-02T19:11:00Z,completed
FLT-00035,SCH-00003,NB103,2026-01-03,KJFK,KORD,US-NB002,2026-01-03T17:00:00Z,2026-01-03T19:11:00Z,completed
FLT-00036,SCH-00003,NB103,2026-01-04,KJFK,KORD,US-NB003,2026-01-04T17:00:00Z,2026-01-04T19:11:00Z,completed
FLT-00037,SCH-00003,NB103,2026-01-05,KJFK,KORD,US-NB004,2026-01-05T17:00:00Z,2026-01-05T19:11:00Z,completed
FLT-00038,SCH-00003,NB103,2026-01-06,KJFK,KORD,US-NB001,2026-01-06T17:00:00Z,2026-01-06T19:11:00Z,completed
FLT-00039,SCH-00003,NB103,2026-01-07,KJFK,KORD,US-NB002,2026-01-07T17:00:00Z,2026-01-07T19:11:00Z,completed
FLT-00040,SCH-00003,NB103,2026-01-08,KJFK,KORD,US-NB003,2026-01-08T17:00:00Z,2026-01-08T19:11:00Z,completed
FLT-00041,SCH-00003,NB103,2026-01-09,KJFK,KORD,US-NB004,2026-01-09T17:00:00Z,2026-01-09T19:11:00Z,completed
FLT-00042,SCH-00003,NB103,2026-01-10,KJFK,KORD,US-NB001,2026-01-10T17:00:00Z,2026-01-10T19:11:00Z,completed
FLT-00043,SCH-00003,NB103,2026-01-11,KJFK,KORD,US-NB002,2026-01-11T17:00:00Z,2026-01-11T19:11:00Z,completed
FLT-00044,SCH-00003,NB103,2026-01-12,KJFK,KORD,US-NB003,2026-01-12T17:00:00Z,2026-01-12T19:11:00Z,completed
FLT-00045,SCH-00003,NB103,2026-01-13,KJFK,KORD,US-NB004,2026-01-13T17:00:00Z,2026-01-13T19:11:00Z,completed
FLT-00046,SCH-00003,NB103,2026-01-14,KJFK,KORD,US-NB001,2026-01-14T17:00:00Z,2026-01-14T19:11:00Z,completed
FLT-00047,SCH-00003,NB103,2026-01-15,KJFK,KORD,US-NB002,2026-01-15T17:00:00Z,2026-01-15T19:11:00Z,scheduled
FLT-00048,SCH-00003,NB103,2026-01-16,KJFK,KORD,US-NB003,2026-01-16T17:00:00Z,2026-01-16T19:11:00Z,scheduled
