schedule_id,route_id,airline_code,flight_number,origin_ident,destination_ident,aircraft_type_code,scheduled_departure_local_time,scheduled_duration_minutes,operating_days_of_week
SCH-00001,RTE-00001,NB,NB101,KJFK,KSFO,A321,06:00,345,MON|WED|FRI
SCH-00002,RTE-00002,NB,NB102,KSFO,KJFK,A321,09:30,345,TUE|THU|SAT
SCH-00003,RTE-00003,NB,NB103,KJFK,KORD,A320,12:00,131,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00004,RTE-00004,NB,NB104,KORD,KJFK,A320,15:30,131,MON|WED|FRI
SCH-00005,RTE-00005,NB,NB105,KJFK,WSSS,B77W,18:00,1068,TUE|THU|SAT
SCH-00006,RTE-00006,NB,NB106,WSSS,KJFK,B77W,06:30,1068,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00007,RTE-00007,NB,NB107,KJFK,KLAX,A321,09:00,332,MON|WED|FRI
SCH-00008,RTE-00008,NB,NB108,KLAX,KJFK,A321,12:30,332,TUE|THU|SAT
SCH-00009,RTE-00009,ZM,ZM101,EGLL,CYYZ,B738,15:00,453,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00010,RTE-00010,ZM,ZM102,CYYZ,EGLL,B738,18:30,453,MON|WED|FRI
SCH-00011,RTE-00011,ZM,ZM103,EGLL,KSFO,A359,06:00,619,TUE|THU|SAT
SCH-00012,RTE-00012,ZM,ZM104,KSFO,EGLL,A359,09:30,619,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00013,RTE-00013,ZM,ZM105,EGLL,OMDB,B738,12:00,438,MON|WED|FRI
SCH-00014,RTE-00014,ZM,ZM106,OMDB,EGLL,B738,15:30,438,TUE|THU|SAT
SCH-00015,RTE-00015,ZM,ZM107,EGLL,LIRF,E190,18:00,153,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00016,RTE-00016,ZM,ZM108,LIRF,EGLL,E190,06:30,153,MON|WED|FRI
SCH-00017,RTE-00017,SL,SL101,LFPG,KORD,B77W,09:00,489,TUE|THU|SAT
SCH-00018,RTE-00018,SL,SL102,KORD,LFPG,B77W,12:30,489,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00019,RTE-00019,SL,SL103,LFPG,EGLL,A320,15:00,70,MON|WED|FRI
SCH-00020,RTE-00020,SL,SL104,EGLL,LFPG,A320,18:30,70,TUE|THU|SAT
SCH-00021,RTE-00021,SL,SL105,LFPG,KJFK,A321,06:00,467,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00022,RTE-00022,SL,SL106,KJFK,LFPG,A321,09:30,467,MON|WED|FRI
SCH-00023,RTE-00023,SL,SL107,LFPG,RJAA,B77W,12:00,692,TUE|THU|SAT
SCH-00024,RTE-00024,SL,SL108,RJAA,LFPG,B77W,15:30,692,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00025,RTE-00025,PC,PC101,WSSS,LIRF,A359,18:00,715,MON|WED|FRI
SCH-00026,RTE-00026,PC,PC102,LIRF,WSSS,A359,06:30,715,TUE|THU|SAT
SCH-00027,RTE-00027,PC,PC103,WSSS,KLAX,A359,09:00,985,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00028,RTE-00028,PC,PC104,KLAX,WSSS,A359,12:30,985,MON|WED|FRI
SCH-00029,RTE-00029,PC,PC105,WSSS,KATL,A359,15:00,1113,TUE|THU|SAT
SCH-00030,RTE-00030,PC,PC106,KATL,WSSS,A359,18:30,1113,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00031,RTE-00031,PC,PC107,WSSS,RJAA,B738,06:00,428,MON|WED|FRI
SCH-00032,RTE-00032,PC,PC108,RJAA,WSSS,B738,09:30,428,TUE|THU|SAT
SCH-00033,RTE-00033,DF,DF101,OMDB,VHHH,A321,12:00,473,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00034,RTE-00034,DF,DF102,VHHH,OMDB,A321,15:30,473,MON|WED|FRI
SCH-00035,RTE-00035,DF,DF103,OMDB,YSSY,B77W,18:00,848,TUE|THU|SAT
SCH-00036,RTE-00036,DF,DF104,YSSY,OMDB,B77W,06:30,848,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00037,RTE-00037,DF,DF105,OMDB,LEMD,A321,09:00,453,MON|WED|FRI
SCH-00038,RTE-00038,DF,DF106,LEMD,OMDB,A321,12:30,453,TUE|THU|SAT
SCH-00039,RTE-00039,DF,DF107,OMDB,KATL,B77W,15:00,859,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00040,RTE-00040,DF,DF108,KATL,OMDB,B77W,18:30,859,MON|WED|FRI
SCH-00041,RTE-00041,SX,SX101,YSSY,KORD,A359,06:00,1036,TUE|THU|SAT
SCH-00042,RTE-00042,SX,SX102,KORD,YSSY,A359,09:30,1036,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00043,RTE-00043,SX,SX103,YSSY,ZBAA,A359,12:00,643,MON|WED|FRI
SCH-00044,RTE-00044,SX,SX104,ZBAA,YSSY,A359,15:30,643,TUE|THU|SAT
SCH-00045,RTE-00045,SX,SX105,YSSY,KLAX,A359,18:00,849,MON|TUE|WED|THU|FRI|SAT|SUN
SCH-00046,RTE-00046,SX,SX106,KLAX,YSSY,A359,06:30,849,MON|WED|FRI
SCH-00047,RTE-00047,SX,SX107,YSSY,WSSS,A359,09:00,465,TUE|THU|SAT
SCH-00048,RTE-00048,SX,SX108,WSSS,YSSY,A359,12:30,465,MON|TUE|WED|THU|FRI|SAT|SUN
