route_id,airline_code,origin_ident,destination_ident,distance_km
RTE-00001,NB,KJFK,KSFO,4151.8
RTE-00002,NB,KSFO,KJFK,4151.8
RTE-00003,NB,KJFK,KORD,1187.8
RTE-00004,NB,KORD,KJFK,1187.8
RTE-00005,NB,KJFK,WSSS,15339.0
RTE-00006,NB,WSSS,KJFK,15339.0
RTE-00007,NB,KJFK,KLAX,3974.2
RTE-00008,NB,KLAX,KJFK,3974.2
RTE-00009,ZM,EGLL,CYYZ,5707.6
RTE-00010,ZM,CYYZ,EGLL,5707.6
RTE-00011,ZM,EGLL,KSFO,8616.4
RTE-00012,ZM,KSFO,EGLL,8616.4
RTE-00013,ZM,EGLL,OMDB,5497.4
RTE-00014,ZM,OMDB,EGLL,5497.4
RTE-00015,ZM,EGLL,LIRF,1443.5
RTE-00016,ZM,LIRF,EGLL,1443.5
RTE-00017,SL,LFPG,KORD,6664.3
RTE-00018,SL,KORD,LFPG,6664.3
RTE-00019,SL,LFPG,EGLL,347.0
RTE-00020,SL,EGLL,LFPG,347.0
RTE-00021,SL,LFPG,KJFK,5833.6
RTE-00022,SL,KJFK,LFPG,5833.6
RTE-00023,SL,LFPG,RJAA,9710.3
RTE-00024,SL,RJAA,LFPG,9710.3
RTE-00025,PC,WSSS,LIRF,10051.6
RTE-00026,PC,LIRF,WSSS,10051.6
RTE-00027,PC,WSSS,KLAX,14100.6
RTE-00028,PC,KLAX,WSSS,14100.6
RTE-00029,PC,WSSS,KATL,16024.2
RTE-00030,PC,KATL,WSSS,16024.2
RTE-00031,PC,WSSS,RJAA,5356.6
RTE-00032,PC,RJAA,WSSS,5356.6
RTE-00033,DF,OMDB,VHHH,5920.1
RTE-00034,DF,VHHH,OMDB,5920.1
RTE-00035,DF,OMDB,YSSY,12043.9
RTE-00036,DF,YSSY,OMDB,12043.9
RTE-00037,DF,OMDB,LEMD,5649.1
RTE-00038,DF,LEMD,OMDB,5649.1
RTE-00039,DF,OMDB,KATL,12209.0
RTE-00040,DF,KATL,OMDB,12209.0
RTE-00041,SX,YSSY,KORD,14862.2
RTE-00042,SX,KORD,YSSY,14862.2
RTE-00043,SX,YSSY,ZBAA,8964.5
RTE-00044,SX,ZBAA,YSSY,8964.5
RTE-00045,SX,YSSY,KLAX,12061.1
RTE-00046,SX,KLAX,YSSY,12061.1
RTE-00047,SX,YSSY,WSSS,6294.7
RTE-00048,SX,WSSS,YSSY,6294.7
