ancillary_service_id,ticket_id,service_code,quantity,unit_price,currency,fulfilment_status,purchase_date_utc
ANC-00001,TKT-00004,UPGCB,1,220.0,USD,not_fulfilled,2026-01-08T09:00:00Z
ANC-00002,TKT-00005,WIFI,1,15.0,USD,pending,2026-01-08T09:00:00Z
ANC-00003,TKT-00005,UPGCB,1,220.0,USD,pending,2026-01-08T09:00:00Z
ANC-00004,TKT-00006,MEALSP,1,27.03,CAD,pending,2025-12-27T09:00:00Z
ANC-00005,TKT-00006,BAG20,1,60.81,CAD,pending,2025-12-27T09:00:00Z
ANC-00006,TKT-00008,WIFI,1,11.81,GBP,pending,2025-11-19T09:00:00Z
ANC-00007,TKT-00012,UPGCB,1,1582.73,CNY,fulfilled,2025-11-19T09:00:00Z
ANC-00008,TKT-00012,WIFI,1,107.91,CNY,fulfilled,2025-11-19T09:00:00Z
ANC-00009,TKT-00015,LOUNGE,1,43.31,GBP,fulfilled,2025-11-30T09:00:00Z
ANC-00010,TKT-00019,WIFI,1,277.78,ZAR,pending,2025-12-15T09:00:00Z
ANC-00011,TKT-00019,MEALSP,1,370.37,ZAR,pending,2025-12-15T09:00:00Z
ANC-00012,TKT-00020,MEALSP,1,18.35,EUR,fulfilled,2025-12-30T09:00:00Z
ANC-00013,TKT-00021,SEATXL,1,220.35,AED,fulfilled,2025-11-17T09:00:00Z
ANC-00014,TKT-00023,SEATPR,1,179.86,CNY,pending,2026-01-06T09:00:00Z
ANC-00015,TKT-00024,SEATPR,1,179.86,CNY,pending,2026-01-06T09:00:00Z
ANC-00016,TKT-00028,WIFI,1,13.76,EUR,pending,2025-11-18T09:00:00Z
ANC-00017,TKT-00028,UPGCB,1,201.83,EUR,pending,2025-11-18T09:00:00Z
ANC-00018,TKT-00029,UPGCB,1,1582.73,CNY,fulfilled,2025-11-28T09:00:00Z
ANC-00019,TKT-00031,BAG20,1,264.71,BRL,fulfilled,2025-11-26T09:00:00Z
ANC-00020,TKT-00032,SEATPR,1,147.06,BRL,fulfilled,2025-11-26T09:00:00Z
